id,name,province_id
016300,Kota Jakarta Selatan,010000
016400,Kota Jakarta Timur,010000
020500,Kab. Bogor,020000
020600,Kab. Sukabumi,020000
020700,Kab. Cianjur,020000
020800,Kab. Bandung,020000
021000,Kab. Sumedang,020000
021100,Kab. Garut,020000
021200,Kab. Tasikmalaya,020000
021400,Kab. Ciamis,020000
021500,Kab. Kuningan,020000
021600,Kab. Majalengka,020000
021700,Kab. Cirebon,020000
021800,Kab. Indramayu,020000
021900,Kab. Subang,020000
022000,Kab. Purwakarta,020000
022100,Kab. Karawang,020000
022300,Kab. Bandung Barat,020000
022500,Kab. Pangandaran,020000
026000,Kota Bandung,020000
026100,Kota Bogor,020000
026300,Kota Cirebon,020000
026500,Kota Bekasi,020000
026600,Kota Depok,020000
026700,Kota Cimahi,020000
026900,Kota Banjar,020000
030100,Kab. Cilacap,030000
030200,Kab. Banyumas,030000
030300,Kab. Purbalingga,030000
030500,Kab. Kebumen,030000
030600,Kab. Purworejo,030000
030700,Kab. Wonosobo,030000
030800,Kab. Magelang,030000
030900,Kab. Boyolali,030000
031100,Kab. Sukoharjo,030000
031200,Kab. Wonogiri,030000
031300,Kab. Karanganyar,030000
031400,Kab. Sragen,030000
031600,Kab. Blora,030000
031700,Kab. Rembang,030000
031800,Kab. Pati,030000
031900,Kab. Kudus,030000
032100,Kab. Demak,030000
032200,Kab. Semarang,030000
032300,Kab. Temanggung,030000
032400,Kab. Kendal,030000
032500,Kab. Batang,030000
032700,Kab. Pemalang,030000
032800,Kab. Tegal,030000
032900,Kab. Brebes,030000
036000,Kota Magelang,030000
036200,Kota Salatiga,030000
036300,Kota Semarang,030000
036400,Kota Pekalongan,030000
036500,Kota Tegal,030000
040100,Kab. Bantul,040000
040300,Kab. Gunung Kidul,040000
040400,Kab. Kulon Progo,040000
046000,Kota Yogyakarta,040000
050200,Kab. Sidoarjo,050000
050300,Kab. Mojokerto,050000
050400,Kab. Jombang,050000
050500,Kab. Bojonegoro,050000
050600,Kab. Tuban,050000
050800,Kab. Madiun,050000
050900,Kab. Ngawi,050000
051000,Kab. Magetan,050000
051100,Kab. Ponorogo,050000
051200,Kab. Pacitan,050000
051400,Kab. Nganjuk,050000
051500,Kab. Blitar,050000
051600,Kab. Tulungagung,050000
051700,Kab. Trenggalek,050000
051900,Kab. Pasuruan,050000
052000,Kab. Probolinggo,050000
052100,Kab. Lumajang,050000
052200,Kab. Bondowoso,050000
052400,Kab. Jember,050000
052500,Kab. Banyuwangi,050000
052600,Kab. Pamekasan,050000
052700,Kab. Sampang,050000
052900,Kab. Bangkalan,050000
056000,Kota Surabaya,050000
056100,Kota Malang,050000
056200,Kota Madiun,050000
056300,Kota Kediri,050000
056500,Kota Blitar,050000
056600,Kota Pasuruan,050000
056700,Kota Probolinggo,050000
056800,Kota Batu,050000
060200,Kab. Pidie,060000
060300,Kab. Aceh Utara,060000
060400,Kab. Aceh Timur,060000
060600,Kab. Aceh Barat,060000
060700,Kab. Aceh Selatan,060000
071000,Kab. Tapanuli Selatan,070000
071100,Kab. Nias,070000
071500,Kab. Mandailing Natal,070000
071600,Kab. Toba Samosir,070000
071700,Kab. Nias Selatan,070000
071800,Kab. Pakpak Bharat,070000
071900,Kab. Humbang Hasudutan,070000
072000,Kab. Samosir,070000
072100,Kab. Serdang Bedagai,070000
072200,Kab. Batubara,070000
072300,Kab. Padang Lawas utara,070000
072400,Kab. Padang Lawas,070000
072500,Kab. Labuhan Batu Utara,070000
072600,Kab. Labuhan Batu Selatan,070000
072700,Kab. Nias Barat,070000
072800,Kab. Nias Utara,070000
076000,Kota Medan,070000
076100,Kota Binjai,070000
076200,Kota Tebing Tinggi,070000
076300,Kota Pematangsiantar,070000
076400,Kota Tanjung Balai,070000
076500,Kota Sibolga,070000
076600,Kota Padang Sidimpuan,070000
076700,Kota Gunungsitoli,070000
080100,Kab. Agam,080000
080200,Kab. Pasaman,080000
080300,Kab. Lima Puluh Koto,080000
080400,Kab. Solok,080000
080600,Kab. Pesisir Selatan,080000
080700,Kab. Tanah Datar,080000
080800,Kab. Sijunjung,080000
081100,Kab. Solok Selatan,080000
081200,Kab. Dharmasraya,080000
081300,Kab. Pasaman Barat,080000
086000,Kota Bukittinggi,080000
086100,Kota Padang,080000
086300,Kota Sawah Lunto,080000
086400,Kota Solok,080000
086500,Kota Payakumbuh,080000
086600,Kota Pariaman,080000
090100,Kab. Kampar,090000
090400,Kab. Indragiri Hulu,090000
090500,Kab. Indragiri Hilir,090000
090800,Kab. Pelalawan,090000
090900,Kab. Rokan Hulu,090000
091100,Kab. Siak,090000
091400,Kab. Kuantan Singingi,090000
091500,Kab. Kepulauan Meranti,090000
096000,Kota Pekanbaru,090000
096200,Kota Dumai,090000
100200,Kab. Bungo,100000
100300,Kab. Sarolangun,100000
100400,Kab. Tanjung Jabung Barat,100000
100500,Kab. Kerinci,100000
100700,Kab. Muaro Jambi,100000
100800,Kab. Tanjung Jabung Timur,100000
106000,Kota Jambi,100000
106100,Kota Sungai Penuh,100000
110100,Kab. Musi Banyuasin,110000
110200,Kab. Ogan Komering Ilir,110000
110400,Kab. Muara Enim,110000
110500,Kab. Lahat,110000
110600,Kab. Musi Rawas,110000
110700,Kab. Banyuasin,110000
110900,Kab. Ogan Komering Ulu Selatan,110000
111000,Kab. Ogan Ilir,110000
111100,Kab. Empat Lawang,110000
111200,Kab. Penukal Abab Lematang Ilir,110000
111300,Kab. Musi Rawas Utara,110000
116000,Kota Palembang,110000
116100,Kota Prabumulih,110000
116300,Kota Pagar Alam,110000
120100,Kab. Lampung Selatan,120000
120200,Kab. Lampung Tengah,120000
120300,Kab. Lampung Utara,120000
120400,Kab. Lampung Barat,120000
120600,Kab. Tanggamus,120000
120700,Kab. Lampung Timur,120000
120800,Kab. Way Kanan,120000
120900,Kab. Pesawaran,120000
121000,Kab. Pringsewu,120000
121100,Kab. Mesuji,120000
121300,Kab. Pesisir Barat,120000
126000,Kota Bandar Lampung,120000
126100,Kota Metro,120000
130100,Kab. Sambas,130000
130200,Kab. Mempawah,130000
130400,Kab. Sintang,130000
130500,Kab. Kapuas Hulu,130000
